Name,Category,Description,Technologies,Topics,URL,Image URL,_2016_num_projects,_2016_projects_url,_2017_num_projects,_2017_projects_url,_2018_num_projects,_2018_projects_url,_2019_num_projects,_2019_projects_url,_2020_num_projects,_2020_projects_url,_2021_num_projects,_2021_projects_url,_2022_num_projects,_2022_projects_url,_2023_num_projects,_2023_projects_url,_2024_num_projects,_2024_projects_url,years,github
Elastic,Data,"We are the creators of Elasticsearch, Kibana, Beats, and Logstash.","java, react, node.js, golang, jruby","monitoring, data visualization, search, data analytics, logging, security, databases, observability",https://elastic.co,https://lh3.googleusercontent.com/eOXs7ZiMFZkKc1E0CvvS9iN5PO7yCd_Nd70vL2ZoDy8PNNh2Mn897XxFd_TF9iTywyd2M-RCLS17rpDRJ_vfEFJ-XzopHLY,N/A,N/A,N/A,N/A,2,https://summerofcode.withgoogle.com/archive/2018/organizations/5469541127684096/,N/A,N/A,2,https://summerofcode.withgoogle.com/archive/2020/organizations/4573440532545536/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2018, 2020",
Electron,End user applications,Cross-platform desktop apps with web technologies,"javascript, node.js, c++, typescript, Chromium","desktop, framework, javascript",https://electronjs.org,https://summerofcode.withgoogle.com/media/org/electron/vchyhnp6rhabucgj-360.png,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://summerofcode.withgoogle.com/archive/2022/organizations/electron/,N/A,N/A,1,https://summerofcode.withgoogle.com/programs/2024/organizations/electron,"2022, 2024",
Elm Software Foundation,Programming languages,A delightful functional language for reliable webapps.,"javascript, haskell, elm","compilers, programming languages, functional programming, web applications, user interface",http://elm-lang.org/,https://lh3.googleusercontent.com/fqsi9UFcYWf2gRtHisTVUL77H0wqC5R8EU7XRoI-yLzd6LESSqOWHS8THAVlDVG1J1lKlhE91MSHSksUrNpNs9b3C2QD8QE2,N/A,N/A,1,https://summerofcode.withgoogle.com/archive/2017/organizations/5658990390280192/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017,
Elm Tooling,Programming languages,Improving your Elm experience!,"functional programming, typescript, elm","web, linter, tooling, parser",https://github.com/elm-tooling?type=source,https://lh3.googleusercontent.com/-XNgKxWjgT1sO2zqY9dM86ocsPJAUPj-XM2iojUjf8vaEhyBmAj_gk8MR4mnIpKd8UYx-aXCnSjkPBHrkZM1ypuyaYFJ-hmzjOzdNUP0RQBN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,https://summerofcode.withgoogle.com/archive/2021/organizations/5833213695492096/,N/A,N/A,N/A,N/A,N/A,N/A,2021,
Embox,Operating systems,Modular and configurable OS for embedded applications,"c, assembly, gcc","embedded systems, rtos",http://embox.github.io,https://lh3.googleusercontent.com/Wxquhb2hHtXZLzWiMeBePgSdNUrJECbNTYlDvJER1sF-uS2EEK52vTgwaWaQpnS6AhYcOLQcjbjqy2TOi3mBttC5KHCUwA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,https://summerofcode.withgoogle.com/archive/2020/organizations/4824946267652096/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020,
Environmental Data And Governance Initiative,Data,International network addressing threats to US environmental & energy policy,"python, javascript, ruby on rails, google cloud, go","machine learning, crawling, api, open data, open science",https://envirodatagov.org/,https://lh3.googleusercontent.com/6M5VZ3XHpr1IpCBDAb1NnmreVjiAW4PPYSh8kJUEspShRoZ4oTx2kPdWG0cJjfXeCwDbtfuYsSArr31ynvZMyAkIhMhrLx9C,N/A,N/A,2,https://summerofcode.withgoogle.com/archive/2017/organizations/4941941976334336/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017,
Erlang Ecosystem Foundation,Programming languages,Supporting the Beam community,"erlang, elixir, beam, lfe","instant messaging, distributed systems, language, messaging, soft real-time",http://erlef.org,https://lh3.googleusercontent.com/5uycoUg-xQ6_2bY9fHvMj8N74iBghWqwmDXcCMIrfEc0pe7RB_RIqNuuFH0dtzJfowjQgNdB93DObYni4yDDOICJ7J2LiQ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,https://summerofcode.withgoogle.com/archive/2020/organizations/4857921046839296/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020,
Eta,Programming languages,Eta is a dialect of Haskell on the Java Virtual Machine.,"java, haskell, jvm","compilers, programming-tools, functional-programming, runtime systems",https://eta-lang.org/,https://lh3.googleusercontent.com/CWx2uyJZ-z2_-0wcJhdTznrSu9d08LqOnoE19wp7OESJ0nj-Vhc0QbqXIp6nXU8lICP39AWtl3wGB-bsrToxqMPclT_uxCo,N/A,N/A,N/A,N/A,2,https://summerofcode.withgoogle.com/archive/2018/organizations/4825444746526720/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018,
FFmpeg,Media,"Record, convert and stream audio & video","c, git, asm, assembly, assembler, c99","audio, video, multimedia, image, compression, filter, compressio, subtitles, image processing, images",https://ffmpeg.org/,https://summerofcode.withgoogle.com/media/org/ffmpeg/9nltyc13lvn7dqn0-360.png,7,https://summerofcode.withgoogle.com/archive/2016/organizations/4753437874978816/,6,https://summerofcode.withgoogle.com/archive/2017/organizations/4641979178680320/,5,https://summerofcode.withgoogle.com/archive/2018/organizations/5447853019234304/,6,https://summerofcode.withgoogle.com/archive/2019/organizations/6415948024643584/,5,https://summerofcode.withgoogle.com/archive/2020/organizations/4857919167791104/,5,https://summerofcode.withgoogle.com/archive/2021/organizations/6245462977282048/,2,https://summerofcode.withgoogle.com/archive/2022/organizations/ffmpeg/,3,https://summerofcode.withgoogle.com/programs/2023/organizations/ffmpeg,7,https://summerofcode.withgoogle.com/programs/2024/organizations/ffmpeg,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",
FLARE,Security,Industry leading malware analysis,"python, ida-pro, Ghidra","emulation, disassembly, decompilation, malware-analysis, reverse-engineering",https://www.mandiant.com/,https://summerofcode.withgoogle.com/media/org/flare/6so0wjs76qeewe9v-360.png,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,https://summerofcode.withgoogle.com/programs/2023/organizations/flare,1,https://summerofcode.withgoogle.com/programs/2024/organizations/flare,"2023, 2024",
